Unix_Epoch_UTC,DateTime_UTC,Depth_dbar,Temp_degC,Cond_S_m,Chl_counts,NTU_counts,CDOM_counts,O2_umol_L,O2Temp_degC
1262390050,2010-01-01 23:54:10,0.67,22.421,0.0,46,66,43,272.99,22.497
1262390054,2010-01-01 23:54:14,0.56,22.421,0.0,45,69,55,272.99,22.499
1262390058,2010-01-01 23:54:18,0.45,22.422,0.0,50,73,62,272.95,22.502
1262390062,2010-01-01 23:54:22,0.36,22.422,0.0,47,70,69,273.01,22.506
1262390066,2010-01-01 23:54:26,0.28,22.421,0.0,53,69,48,272.94,22.508
1262390070,2010-01-01 23:54:30,0.21,22.422,0.0,48,69,44,272.9,22.512
1262390074,2010-01-01 23:54:34,0.15,22.422,0.0,45,68,42,272.84,22.517
1262390078,2010-01-01 23:54:38,0.11,22.422,0.0,44,66,61,272.89,22.522
1262390082,2010-01-01 23:54:42,0.06,22.423,0.0,47,72,62,272.88,22.526
1262390086,2010-01-01 23:54:46,0.02,22.423,0.0,42,68,61,272.84,22.53
1262390090,2010-01-01 23:54:50,0.0,22.423,0.0,50,61,63,272.79,22.533
1262390094,2010-01-01 23:54:54,-0.03,22.423,0.0,50,71,65,272.78,22.537
1262390098,2010-01-01 23:54:58,-0.05,22.424,0.0,47,66,59,272.76,22.541
1262390102,2010-01-01 23:55:02,-0.06,22.424,0.0,50,70,54,272.74,22.545
1262390106,2010-01-01 23:55:06,-0.08,22.424,0.0,51,65,37,272.74,22.548
1262390110,2010-01-01 23:55:10,-0.11,22.424,0.0,48,67,45,272.78,22.552
1262390114,2010-01-01 23:55:14,-0.12,22.424,0.0,45,67,45,272.75,22.556
1262390118,2010-01-01 23:55:18,-0.14,22.425,0.0,49,69,44,272.68,22.56
1262390122,2010-01-01 23:55:22,-0.16,22.424,0.0,47,68,48,272.66,22.564
1262390126,2010-01-01 23:55:26,-0.18,22.425,0.0,50,64,41,272.6,22.566
1262390130,2010-01-01 23:55:30,-0.18,22.425,0.0,49,62,64,272.64,22.571
1262390134,2010-01-01 23:55:34,-0.21,22.425,0.0,49,65,70,272.63,22.576
1262390138,2010-01-01 23:55:38,-0.22,22.426,0.0,49,72,63,272.56,22.579
1262390142,2010-01-01 23:55:42,-0.23,22.426,0.0,51,71,50,272.56,22.584
1262390146,2010-01-01 23:55:46,-0.24,22.426,0.0,47,65,40,272.57,22.588
1262390150,2010-01-01 23:55:50,-0.25,22.427,0.0,53,68,53,272.57,22.591
1262390154,2010-01-01 23:55:54,-0.26,22.427,0.0,48,69,64,272.55,22.592
1262390158,2010-01-01 23:55:58,-0.27,22.427,0.0,47,67,62,272.53,22.6
1262390162,2010-01-01 23:56:02,-0.28,22.427,0.0,49,69,50,272.47,22.604
1262390166,2010-01-01 23:56:06,-0.29,22.428,0.0,50,68,26,272.41,22.607
1262390170,2010-01-01 23:56:10,-0.3,22.428,0.0,44,61,41,272.48,22.611
1262390174,2010-01-01 23:56:14,-0.32,22.428,0.0,51,66,31,272.4,22.616
1262390178,2010-01-01 23:56:18,-0.32,22.429,0.0,51,67,66,272.37,22.62
1262390182,2010-01-01 23:56:22,-0.33,22.429,0.0,53,66,64,272.29,22.624
1262390186,2010-01-01 23:56:26,-0.34,22.43,0.0,47,68,63,272.34,22.628
1262390190,2010-01-01 23:56:30,-0.34,22.43,0.0,44,68,59,272.29,22.633
1262390194,2010-01-01 23:56:34,-0.34,22.43,0.0,47,74,50,272.26,22.635
1262390198,2010-01-01 23:56:38,-0.35,22.431,0.0,50,70,44,272.26,22.637
1262390202,2010-01-01 23:56:42,-0.36,22.431,0.0,50,65,42,272.23,22.642
1262390206,2010-01-01 23:56:46,-0.36,22.431,0.0,55,62,55,272.28,22.644
1262390210,2010-01-01 23:56:50,-0.36,22.432,0.0,43,64,63,272.26,22.649
1262390214,2010-01-01 23:56:54,-0.36,22.433,0.0,49,68,66,272.23,22.654
1262390218,2010-01-01 23:56:58,-0.36,22.433,0.0,46,70,48,272.23,22.658
1262390222,2010-01-01 23:57:02,-0.37,22.433,0.0,45,67,44,272.16,22.663
1262390226,2010-01-01 23:57:06,-0.37,22.434,0.0,45,67,43,272.15,22.665
1262390230,2010-01-01 23:57:10,-0.35,22.434,0.0,48,70,62,272.1,22.669
1262390234,2010-01-01 23:57:14,-0.34,22.434,0.0,49,69,47,272.09,22.673
1262390238,2010-01-01 23:57:18,-0.33,22.435,0.0,55,66,33,272.06,22.676
1262390242,2010-01-01 23:57:22,-0.33,22.434,0.0,51,62,57,272.09,22.681
1262390246,2010-01-01 23:57:26,-0.34,22.436,0.0,47,68,66,272.17,22.681
1262390250,2010-01-01 23:57:30,-0.33,22.436,0.0,50,68,45,272.1,22.687
1262390254,2010-01-01 23:57:34,-0.34,22.436,0.0,49,69,44,272.03,22.693
1262390258,2010-01-01 23:57:38,-0.34,22.437,0.0,53,62,52,272.01,22.697
1262390262,2010-01-01 23:57:42,-0.34,22.437,0.0,52,69,64,272.07,22.698
1262390266,2010-01-01 23:57:46,-0.35,22.438,0.0,52,63,61,271.99,22.702
1262390270,2010-01-01 23:57:50,-0.34,22.438,0.0,46,71,44,271.9,22.708
1262390274,2010-01-01 23:57:54,-0.35,22.439,0.0,47,65,44,271.92,22.709
1262390278,2010-01-01 23:57:58,-0.35,22.439,0.0,46,66,34,271.9,22.714
1262390282,2010-01-01 23:58:02,-0.35,22.439,0.0,51,66,45,271.9,22.716
1262390286,2010-01-01 23:58:06,-0.35,22.44,0.0,50,67,63,271.83,22.723
1262390290,2010-01-01 23:58:10,-0.35,22.441,0.0,47,65,60,271.86,22.726
1262390294,2010-01-01 23:58:14,-0.36,22.44,0.0,43,63,42,271.8,22.729
1262390298,2010-01-01 23:58:18,-0.36,22.441,0.0,49,66,64,271.81,22.731
1262390302,2010-01-01 23:58:22,-0.35,22.442,0.0,47,65,60,271.8,22.736
1262390306,2010-01-01 23:58:26,-0.36,22.442,0.0,47,71,47,271.8,22.741
1262390310,2010-01-01 23:58:30,-0.36,22.443,0.0,52,66,34,271.81,22.743
1262390314,2010-01-01 23:58:34,-0.36,22.443,0.0,51,70,53,271.79,22.744
1262390318,2010-01-01 23:58:38,-0.36,22.443,0.0,47,64,64,271.68,22.751
1262390322,2010-01-01 23:58:42,-0.37,22.444,0.0,50,71,46,271.64,22.754
1262390326,2010-01-01 23:58:46,-0.37,22.444,0.0,45,69,39,271.75,22.756
1262390330,2010-01-01 23:58:50,-0.37,22.445,0.0,49,68,50,271.72,22.759
1262390334,2010-01-01 23:58:54,-0.37,22.445,0.0,48,72,62,271.65,22.763
1262390338,2010-01-01 23:58:58,-0.37,22.445,0.0,46,67,45,271.7,22.767
1262390342,2010-01-01 23:59:02,-0.37,22.446,0.0,51,65,34,271.62,22.771
1262390346,2010-01-01 23:59:06,-0.38,22.446,0.0,49,68,48,271.63,22.772
1262390350,2010-01-01 23:59:10,-0.38,22.447,0.0,47,68,64,271.65,22.776
1262390354,2010-01-01 23:59:14,-0.37,22.447,0.0,45,71,46,271.66,22.78
1262390358,2010-01-01 23:59:18,-0.39,22.447,0.0,53,70,44,271.56,22.783
1262390362,2010-01-01 23:59:22,-0.38,22.448,0.0,51,59,51,271.53,22.787
1262390366,2010-01-01 23:59:26,-0.39,22.449,0.0,50,73,66,271.51,22.791
1262390370,2010-01-01 23:59:30,-0.38,22.448,0.0,48,68,44,271.54,22.794
1262390374,2010-01-01 23:59:34,-0.39,22.449,0.0,51,64,36,271.54,22.798
1262390378,2010-01-01 23:59:38,-0.39,22.449,0.0,50,67,70,271.46,22.801
1262390382,2010-01-01 23:59:42,-0.39,22.449,0.0,45,66,62,271.45,22.804
1262390386,2010-01-01 23:59:46,-0.39,22.45,0.0,49,69,51,271.43,22.806
1262390390,2010-01-01 23:59:50,-0.39,22.45,0.0,48,65,38,271.45,22.81
1262390394,2010-01-01 23:59:54,-0.39,22.45,0.0,52,66,64,271.34,22.814
1262390398,2010-01-01 23:59:58,-0.39,22.45,0.0,47,67,52,271.39,22.817
1262390402,2010-01-02 00:00:02,-0.4,22.451,0.0,51,63,54,271.4,22.819
1262390406,2010-01-02 00:00:06,-0.39,22.451,0.0,50,65,61,271.36,22.823
1262390410,2010-01-02 00:00:10,-0.4,22.452,0.0,52,71,57,271.39,22.827
1262390414,2010-01-02 00:00:14,-0.4,22.452,0.0,53,66,44,271.36,22.83
1262390418,2010-01-02 00:00:18,-0.41,22.452,0.0,50,70,47,271.31,22.833
1262390422,2010-01-02 00:00:22,-0.41,22.453,0.0,49,66,73,271.3,22.837
1262390426,2010-01-02 00:00:26,-0.41,22.453,0.0,45,70,62,271.38,22.839
1262390430,2010-01-02 00:00:30,-0.41,22.453,0.0,48,70,45,271.25,22.842
1262390434,2010-01-02 00:00:34,-0.4,22.454,0.0,49,66,36,271.28,22.845
1262390438,2010-01-02 00:00:38,-0.41,22.454,0.0,50,64,62,271.23,22.849
1262390442,2010-01-02 00:00:42,-0.41,22.455,0.0,44,67,75,271.2,22.853
1262390446,2010-01-02 00:00:46,-0.41,22.454,0.0,50,64,62,271.19,22.856
1262390450,2010-01-02 00:00:50,-0.41,22.455,0.0,50,64,60,271.19,22.859
1262390454,2010-01-02 00:00:54,-0.41,22.456,0.0,40,65,61,271.17,22.862
1262390458,2010-01-02 00:00:58,-0.42,22.456,0.0,50,73,68,271.15,22.865
1262390462,2010-01-02 00:01:02,-0.41,22.457,0.0,42,63,62,271.1,22.868
1262390466,2010-01-02 00:01:06,-0.41,22.457,0.0,44,64,62,271.14,22.871
1262390470,2010-01-02 00:01:10,-0.42,22.457,0.0,45,70,54,271.11,22.874
1262390474,2010-01-02 00:01:14,-0.42,22.458,0.0,45,68,40,271.11,22.876
1262390478,2010-01-02 00:01:18,-0.41,22.458,0.0,55,68,44,271.12,22.878
1262390482,2010-01-02 00:01:22,-0.42,22.458,0.0,51,67,71,271.08,22.882
1262390486,2010-01-02 00:01:26,-0.42,22.459,0.0,48,75,47,270.98,22.886
1262390490,2010-01-02 00:01:30,-0.42,22.459,0.0,50,68,45,271.07,22.888
1262390494,2010-01-02 00:01:34,-0.42,22.46,0.0,53,67,61,271.03,22.889
1262390498,2010-01-02 00:01:38,-0.43,22.459,0.0,43,67,70,271.04,22.893
1262390502,2010-01-02 00:01:42,-0.42,22.46,0.0,49,75,50,270.95,22.897
1262390506,2010-01-02 00:01:46,-0.42,22.46,0.0,50,64,46,271.05,22.9
1262390510,2010-01-02 00:01:50,-0.43,22.46,0.0,52,67,40,270.93,22.903
1262390514,2010-01-02 00:01:54,-0.43,22.461,0.0,47,69,62,270.92,22.906
1262390518,2010-01-02 00:01:58,-0.43,22.462,0.0,50,65,64,270.95,22.91
1262390522,2010-01-02 00:02:02,-0.43,22.461,0.0,46,67,57,270.91,22.912
1262390526,2010-01-02 00:02:06,-0.43,22.462,0.0,47,68,62,270.99,22.914
1262390530,2010-01-02 00:02:10,-0.43,22.462,0.0,50,67,71,270.9,22.917
1262390567,2010-01-02 00:02:47,-0.44,22.479,0.0,46,67,56,270.65,22.939
1262390587,2010-01-02 00:03:07,-0.43,22.484,0.0,50,65,43,270.66,22.943
1262390607,2010-01-02 00:03:27,-0.44,22.487,0.0,47,66,34,270.62,22.951
1262390627,2010-01-02 00:03:47,-0.44,22.491,0.0,48,67,40,270.64,22.957
1262390647,2010-01-02 00:04:07,-0.44,22.493,0.0,43,65,61,270.58,22.964
1262390667,2010-01-02 00:04:27,-0.45,22.495,0.0,50,74,48,270.57,22.967
1262390687,2010-01-02 00:04:47,-0.45,22.498,0.0,48,70,53,270.58,22.973
1262390707,2010-01-02 00:05:07,-0.46,22.5,0.0,51,63,64,270.56,22.979
1262390727,2010-01-02 00:05:27,-0.46,22.502,0.0,48,71,51,270.45,22.985
1262390747,2010-01-02 00:05:47,-0.46,22.504,0.0,50,64,65,270.39,22.989
1262390767,2010-01-02 00:06:07,-0.47,22.506,0.0,50,68,49,270.38,22.992
1262390787,2010-01-02 00:06:27,-0.47,22.507,0.0,51,74,62,270.39,22.996
1262390807,2010-01-02 00:06:47,-0.48,22.509,0.0,53,64,32,270.43,22.997
1262390827,2010-01-02 00:07:07,-0.48,22.512,0.0,48,69,41,270.37,23.002
1262390847,2010-01-02 00:07:27,-0.45,22.513,0.0,50,70,65,270.36,23.006
1262390867,2010-01-02 00:07:47,-0.46,22.515,0.0,45,69,43,270.31,23.011
1262390887,2010-01-02 00:08:07,-0.46,22.517,0.0,43,70,48,270.36,23.01
1262390907,2010-01-02 00:08:27,-0.47,22.519,0.0,50,66,58,270.32,23.016
1262390927,2010-01-02 00:08:47,-0.47,22.521,0.0,48,66,64,270.33,23.02
1262390947,2010-01-02 00:09:07,-0.48,22.522,0.0,50,73,53,270.29,23.022
1262390967,2010-01-02 00:09:27,-0.48,22.525,0.0,50,76,54,270.23,23.025
1262390987,2010-01-02 00:09:47,-0.48,22.525,0.0,45,71,49,270.28,23.028
1262391007,2010-01-02 00:10:07,-0.48,22.527,0.0,49,66,61,270.2,23.032
1262391027,2010-01-02 00:10:27,-0.49,22.529,0.0,52,63,61,270.23,23.035
1262391047,2010-01-02 00:10:47,-0.49,22.53,0.0,49,66,42,270.22,23.038
1262391067,2010-01-02 00:11:07,-0.49,22.533,0.0,50,65,54,270.19,23.042
1262391087,2010-01-02 00:11:27,-0.49,22.534,0.0,51,61,59,270.21,23.045
1262391107,2010-01-02 00:11:47,-0.49,22.535,0.0,45,69,55,270.14,23.048
1262391127,2010-01-02 00:12:07,-0.5,22.537,0.0,54,72,46,270.17,23.05
1262391147,2010-01-02 00:12:27,-0.5,22.539,0.0,48,68,49,270.14,23.052
