MeasurementNo,Unix_Epoch_UTC,CTD_C,CTD_T,CTD_D,Optode_O2,Optode_Temp,Optode_Cal_Ph,Optode_Tc_Ph,Optode_C1_Ph,Optode_C2_Ph,Optode_C1_Amp,Optode_C2_Amp,Optode_Temp_raw,Wetlab_C1_lambda,Wetlab_C1_signal,Wetlab_C2_lambda,Wetlab_C2_signal,Wetlab_C3_lambda,Wetlab_C3_signal,Wetlab_Therm
37,1776449914,0.000020,21.688101,0.800000,279.072998,21.188999,31.143999,31.143999,38.963001,7.819000,956.700012,1014.599976,275.100006,695,49,700,69,460,48,540
38,1776449918,0.000020,21.687901,0.680000,279.049988,21.193001,31.143999,31.143999,38.965000,7.821000,956.599976,1014.400024,275.000000,695,45,700,68,460,44,540
39,1776449922,0.000020,21.687201,0.570000,279.045990,21.197001,31.142000,31.142000,38.960999,7.819000,956.599976,1014.400024,274.799988,695,50,700,74,460,64,540
40,1776449926,0.000020,21.687201,0.470000,278.954987,21.200001,31.145000,31.145000,38.965000,7.821000,956.599976,1014.299988,274.799988,695,50,700,66,460,37,540
41,1776449930,0.000020,21.686399,0.380000,279.010010,21.198999,31.143000,31.143000,38.962002,7.819000,956.599976,1014.299988,274.799988,695,48,700,72,460,45,540
42,1776449934,0.000020,21.686800,0.300000,278.997009,21.204000,31.141001,31.141001,38.962002,7.821000,956.599976,1014.200012,274.600006,695,50,700,76,460,57,539
43,1776449938,0.000020,21.686399,0.230000,278.945007,21.208000,31.141001,31.141001,38.963001,7.821000,956.500000,1014.000000,274.500000,695,50,700,71,460,50,540
44,1776449942,0.000020,21.686100,0.170000,278.902008,21.211000,31.142000,31.142000,38.960999,7.819000,956.400024,1014.000000,274.399994,695,48,700,69,460,46,540
45,1776449946,0.000020,21.685900,0.120000,278.928986,21.212999,31.139999,31.139999,38.960999,7.821000,956.400024,1014.000000,274.299988,695,47,700,68,460,64,539
46,1776449950,0.000020,21.685801,0.070000,278.885010,21.216999,31.139999,31.139999,38.959000,7.820000,956.299988,1013.900024,274.200012,695,50,700,71,460,49,539
47,1776449954,0.000020,21.684999,0.020000,278.854004,21.221001,31.139999,31.139999,38.959999,7.821000,956.299988,1013.700012,274.100006,695,47,700,71,460,49,539
48,1776449958,0.000020,21.684999,-0.010000,278.907013,21.221001,31.136999,31.136999,38.959999,7.823000,956.299988,1013.799988,274.100006,695,48,700,68,460,46,540
49,1776449962,0.000020,21.684601,-0.050000,278.906006,21.222000,31.136999,31.136999,38.959000,7.822000,956.299988,1013.700012,274.100006,695,48,700,71,460,49,539
50,1776449966,0.000020,21.684401,-0.070000,278.876007,21.228001,31.136000,31.136000,38.958000,7.822000,956.200012,1013.700012,273.899994,695,47,700,69,460,57,539
51,1776449970,0.000020,21.684099,-0.100000,278.778015,21.233000,31.138000,31.138000,38.959000,7.821000,956.200012,1013.599976,273.700012,695,50,700,66,460,49,539
52,1776449974,0.000020,21.683901,-0.120000,278.776001,21.238001,31.136000,31.136000,38.958000,7.822000,956.099976,1013.500000,273.600006,695,46,700,73,460,51,539
53,1776449978,0.000020,21.683599,-0.130000,278.790985,21.240000,31.134001,31.134001,38.958000,7.823000,956.099976,1013.400024,273.500000,695,47,700,73,460,66,539
54,1776449982,0.000020,21.683500,-0.150000,278.761993,21.243000,31.134001,31.134001,38.956001,7.822000,956.000000,1013.400024,273.399994,695,45,700,67,460,39,540
55,1776449986,0.000020,21.683001,-0.170000,278.764008,21.247000,31.132000,31.132000,38.955002,7.823000,956.000000,1013.299988,273.299988,695,47,700,72,460,50,539
56,1776449990,0.000020,21.682800,-0.200000,278.697998,21.247999,31.134001,31.134001,38.956001,7.822000,956.000000,1013.299988,273.200012,695,50,700,70,460,63,539
57,1776449994,0.000020,21.682501,-0.220000,278.681000,21.253000,31.132999,31.132999,38.955002,7.821000,956.000000,1013.200012,273.100006,695,52,700,64,460,39,539
58,1776449998,0.000020,21.681900,-0.240000,278.622009,21.254999,31.135000,31.135000,38.956001,7.822000,956.000000,1013.200012,273.000000,695,49,700,68,460,46,539
59,1776450002,0.000020,21.682199,-0.260000,278.700012,21.257999,31.129999,31.129999,38.952999,7.822000,955.900024,1013.099976,273.000000,695,52,700,65,460,49,539
60,1776450006,0.000020,21.681400,-0.290000,278.690002,21.261000,31.129000,31.129000,38.951000,7.822000,955.900024,1013.099976,272.799988,695,46,700,72,460,49,539
61,1776450010,0.000020,21.681801,-0.300000,278.625000,21.267000,31.129000,31.129000,38.951000,7.822000,955.799988,1013.000000,272.700012,695,52,700,71,460,62,539
62,1776450014,0.000020,21.681499,-0.320000,278.622009,21.271000,31.128000,31.128000,38.950001,7.822000,955.799988,1013.000000,272.600006,695,49,700,69,460,52,539
63,1776450018,0.000020,21.681101,-0.340000,278.630005,21.273001,31.127001,31.127001,38.950001,7.824000,955.700012,1012.900024,272.500000,695,48,700,69,460,44,539
64,1776450022,0.000020,21.681000,-0.350000,278.617004,21.277000,31.125999,31.125999,38.948002,7.823000,955.799988,1012.900024,272.399994,695,42,700,68,460,55,539
65,1776450026,0.000020,21.680799,-0.350000,278.545990,21.280001,31.127001,31.127001,38.949001,7.822000,955.700012,1012.900024,272.299988,695,49,700,65,460,59,539
66,1776450030,0.000020,21.680099,-0.360000,278.561005,21.282000,31.125999,31.125999,38.949001,7.823000,955.700012,1012.700012,272.200012,695,48,700,68,460,39,539
67,1776450034,0.000020,21.680300,-0.360000,278.571991,21.285999,31.124001,31.124001,38.948002,7.824000,955.700012,1012.700012,272.100006,695,41,700,67,460,59,539
68,1776450038,0.000020,21.679899,-0.380000,278.528992,21.289000,31.124001,31.124001,38.948002,7.824000,955.700012,1012.599976,272.000000,695,49,700,67,460,50,539
69,1776450042,0.000020,21.679800,-0.390000,278.490997,21.292000,31.124001,31.124001,38.949001,7.825000,955.599976,1012.700012,271.899994,695,53,700,69,460,37,539
70,1776450046,0.000020,21.679300,-0.410000,278.533997,21.294001,31.122000,31.122000,38.945999,7.825000,955.500000,1012.599976,271.799988,695,47,700,66,460,56,539
71,1776450050,0.000020,21.679199,-0.420000,278.420013,21.299999,31.124001,31.124001,38.946999,7.823000,955.500000,1012.400024,271.700012,695,50,700,68,460,45,539
72,1776450054,0.000020,21.679100,-0.410000,278.420013,21.302999,31.122999,31.122999,38.945999,7.823000,955.500000,1012.500000,271.600006,695,51,700,70,460,33,539
73,1776450058,0.000020,21.679399,-0.390000,278.438995,21.306000,31.121000,31.121000,38.945000,7.824000,955.400024,1012.400024,271.500000,695,46,700,68,460,66,539
74,1776450062,0.000020,21.678301,-0.390000,278.364990,21.309000,31.122000,31.122000,38.946999,7.824000,955.400024,1012.400024,271.399994,695,53,700,69,460,42,539
75,1776450066,0.000020,21.678400,-0.400000,278.388000,21.312000,31.120001,31.120001,38.945000,7.825000,955.400024,1012.299988,271.299988,695,47,700,72,460,52,539
76,1776450070,0.000020,21.678499,-0.400000,278.425995,21.316000,31.117001,31.117001,38.942001,7.825000,955.400024,1012.299988,271.100006,695,48,700,67,460,57,539
77,1776450074,0.000020,21.678200,-0.400000,278.279999,21.319000,31.122000,31.122000,38.945000,7.824000,955.299988,1012.200012,271.100006,695,49,700,73,460,51,539
78,1776450078,0.000020,21.677500,-0.400000,278.338013,21.320999,31.118000,31.118000,38.943001,7.825000,955.200012,1012.200012,271.000000,695,47,700,70,460,68,539
79,1776450082,0.000020,21.677900,-0.400000,278.302002,21.323000,31.118999,31.118999,38.943001,7.824000,955.299988,1012.099976,270.899994,695,48,700,65,460,43,539
80,1776450086,0.000020,21.677601,-0.410000,278.339996,21.326000,31.115999,31.115999,38.942001,7.826000,955.200012,1012.099976,270.899994,695,45,700,71,460,62,539
81,1776450090,0.000020,21.677799,-0.410000,278.278992,21.330999,31.117001,31.117001,38.943001,7.826000,955.200012,1012.000000,270.700012,695,48,700,64,460,38,539
82,1776450094,0.000020,21.677601,-0.400000,278.216003,21.334000,31.118000,31.118000,38.944000,7.826000,955.099976,1011.900024,270.600006,695,52,700,67,460,48,539
83,1776450098,0.000020,21.676901,-0.410000,278.239990,21.337999,31.115000,31.115000,38.939999,7.824000,955.000000,1011.900024,270.500000,695,45,700,66,460,50,539
84,1776450102,0.000020,21.676800,-0.410000,278.239014,21.343000,31.113001,31.113001,38.939999,7.827000,955.099976,1011.900024,270.299988,695,46,700,70,460,45,539
85,1776450106,0.000020,21.676300,-0.410000,278.162994,21.344999,31.115000,31.115000,38.939999,7.824000,955.099976,1011.900024,270.200012,695,46,700,69,460,67,539
86,1776450110,0.000020,21.676901,-0.410000,278.121002,21.347000,31.117001,31.117001,38.941002,7.824000,955.000000,1011.799988,270.200012,695,49,700,63,460,38,539
87,1776450114,0.000020,21.676500,-0.410000,278.097992,21.351999,31.115000,31.115000,38.941002,7.825000,955.000000,1011.799988,270.000000,695,46,700,68,460,56,539
88,1776450118,0.000020,21.676100,-0.410000,278.096985,21.356001,31.114000,31.114000,38.938999,7.826000,955.000000,1011.799988,269.899994,695,50,700,68,460,37,539
89,1776450122,0.000020,21.676500,-0.410000,278.144012,21.357000,31.111000,31.111000,38.938000,7.827000,954.900024,1011.599976,269.899994,695,49,700,74,460,51,538
90,1776450126,0.000020,21.675900,-0.410000,278.115997,21.363001,31.110001,31.110001,38.936001,7.826000,954.900024,1011.700012,269.700012,695,49,700,66,460,50,539
91,1776450130,0.000020,21.675400,-0.410000,278.127014,21.364000,31.108999,31.108999,38.935001,7.826000,954.799988,1011.599976,269.700012,695,46,700,69,460,38,539
92,1776450134,0.000020,21.675900,-0.420000,278.078003,21.365999,31.110001,31.110001,38.936001,7.826000,954.799988,1011.500000,269.600006,695,45,700,69,460,72,539
93,1776450138,0.000020,21.675699,-0.420000,278.106995,21.370001,31.107000,31.107000,38.933998,7.827000,954.799988,1011.500000,269.500000,695,50,700,71,460,45,539
94,1776450142,0.000020,21.675800,-0.420000,278.078003,21.374001,31.107000,31.107000,38.932999,7.827000,954.799988,1011.400024,269.299988,695,45,700,68,460,63,539
95,1776450146,0.000020,21.674999,-0.420000,278.007996,21.378000,31.108000,31.108000,38.932999,7.826000,954.700012,1011.400024,269.200012,695,47,700,66,460,41,539
96,1776450150,0.000020,21.675301,-0.420000,278.096985,21.379000,31.104000,31.104000,38.931999,7.828000,954.700012,1011.299988,269.200012,695,46,700,70,460,40,539
97,1776450154,0.000020,21.675200,-0.420000,277.998993,21.382999,31.106001,31.106001,38.932999,7.826000,954.599976,1011.200012,269.100006,695,48,700,71,460,71,539
98,1776450158,0.000020,21.674999,-0.430000,277.983002,21.385000,31.106001,31.106001,38.931999,7.826000,954.599976,1011.200012,269.000000,695,47,700,71,460,38,539
99,1776450162,0.000020,21.674801,-0.420000,278.018005,21.389999,31.103001,31.103001,38.931000,7.828000,954.599976,1011.099976,268.899994,695,52,700,68,460,58,539
100,1776450166,0.000020,21.674500,-0.430000,277.889008,21.392000,31.107000,31.107000,38.932999,7.826000,954.599976,1011.200012,268.799988,695,49,700,70,460,47,539
101,1776450170,0.000020,21.674601,-0.430000,277.931000,21.395000,31.104000,31.104000,38.931000,7.827000,954.599976,1011.099976,268.700012,695,50,700,76,460,68,539
102,1776450174,0.000020,21.674601,-0.430000,277.917999,21.395000,31.104000,31.104000,38.932999,7.829000,954.599976,1011.099976,268.700012,695,55,700,72,460,47,539
103,1776450178,0.000020,21.674500,-0.430000,277.898987,21.399000,31.103001,31.103001,38.930000,7.826000,954.500000,1011.099976,268.600006,695,44,700,68,460,56,539
104,1776450182,0.000020,21.674500,-0.440000,277.875000,21.403000,31.103001,31.103001,38.929001,7.827000,954.400024,1011.099976,268.399994,695,55,700,65,460,52,538
105,1776450186,0.000020,21.674601,-0.430000,277.855988,21.408001,31.101999,31.101999,38.928001,7.826000,954.400024,1011.000000,268.299988,695,44,700,75,460,45,539
106,1776450190,0.000020,21.674000,-0.430000,277.856995,21.413000,31.099001,31.099001,38.928001,7.828000,954.400024,1011.000000,268.100006,695,50,700,66,460,53,538
107,1776450194,0.000020,21.673700,-0.440000,277.774994,21.416000,31.101000,31.101000,38.928001,7.827000,954.299988,1010.900024,268.000000,695,49,700,67,460,45,539
108,1776450198,0.000020,21.673599,-0.440000,277.746002,21.419001,31.101999,31.101999,38.928001,7.827000,954.299988,1010.900024,268.000000,695,48,700,75,460,52,538
109,1776450202,0.000020,21.673599,-0.440000,277.782990,21.420000,31.099001,31.099001,38.926998,7.827000,954.200012,1010.799988,267.899994,695,49,700,68,460,52,538
110,1776450206,0.000020,21.673300,-0.440000,277.786011,21.424000,31.098000,31.098000,38.924999,7.827000,954.200012,1010.799988,267.799988,695,53,700,71,460,47,538
111,1776450210,0.000020,21.673599,-0.440000,277.760986,21.429001,31.097000,31.097000,38.924999,7.828000,954.200012,1010.799988,267.700012,695,48,700,70,460,50,538
112,1776450214,0.000020,21.673500,-0.450000,277.778992,21.429001,31.096001,31.096001,38.924999,7.830000,954.099976,1010.700012,267.600006,695,47,700,73,460,65,538
113,1776450218,0.000020,21.673901,-0.440000,277.808990,21.431000,31.094000,31.094000,38.923000,7.829000,954.099976,1010.700012,267.600006,695,50,700,66,460,52,539
114,1776450222,0.000020,21.674000,-0.440000,277.716003,21.434000,31.096001,31.096001,38.924000,7.828000,954.000000,1010.599976,267.500000,695,53,700,66,460,58,538
115,1776450226,0.000020,21.672899,-0.420000,277.755005,21.438999,31.093000,31.093000,38.921001,7.829000,954.000000,1010.599976,267.299988,695,53,700,69,460,45,538
116,1776450230,0.000020,21.673100,-0.420000,277.704010,21.441999,31.093000,31.093000,38.921001,7.828000,954.000000,1010.500000,267.200012,695,46,700,67,460,41,538
117,1776450234,0.000020,21.673599,-0.430000,277.660004,21.443001,31.094999,31.094999,38.923000,7.828000,954.000000,1010.500000,267.200012,695,45,700,70,460,44,538
118,1776450238,0.000020,21.673300,-0.430000,277.648010,21.448000,31.093000,31.093000,38.923000,7.830000,953.900024,1010.400024,267.100006,695,50,700,76,460,50,539
119,1776450242,0.000020,21.673300,-0.430000,277.630005,21.448999,31.094000,31.094000,38.923000,7.830000,953.900024,1010.400024,267.000000,695,48,700,65,460,61,538
120,1776450246,0.000020,21.672899,-0.430000,277.618988,21.454000,31.091999,31.091999,38.918999,7.827000,953.799988,1010.299988,266.899994,695,50,700,66,460,51,538
121,1776450250,0.000020,21.673000,-0.430000,277.584015,21.458000,31.091999,31.091999,38.921001,7.829000,953.799988,1010.299988,266.799988,695,49,700,68,460,35,538
122,1776450254,0.000020,21.673300,-0.430000,277.584015,21.459999,31.091000,31.091000,38.917999,7.828000,953.799988,1010.299988,266.700012,695,48,700,74,460,56,538
123,1776450258,0.000020,21.673201,-0.430000,277.605011,21.465000,31.087999,31.087999,38.917000,7.829000,953.700012,1010.200012,266.500000,695,54,700,63,460,52,538
124,1776450262,0.000020,21.672899,-0.440000,277.574005,21.468000,31.087999,31.087999,38.916000,7.828000,953.700012,1010.099976,266.399994,695,51,700,72,460,45,538
125,1776450266,0.000020,21.673300,-0.440000,277.592987,21.471001,31.086000,31.086000,38.917000,7.831000,953.700012,1010.099976,266.299988,695,48,700,70,460,62,538
126,1776450270,0.000010,21.672899,-0.440000,277.558014,21.471001,31.087000,31.087000,38.917000,7.830000,953.599976,1010.000000,266.299988,695,50,700,65,460,59,538
127,1776450274,0.000020,21.672701,-0.440000,277.546997,21.474001,31.086000,31.086000,38.915001,7.829000,953.599976,1010.000000,266.200012,695,47,700,69,460,49,538
128,1776450278,0.000020,21.672899,-0.440000,277.506989,21.480000,31.086000,31.086000,38.915001,7.829000,953.500000,1010.000000,266.100006,695,46,700,72,460,57,538
129,1776450282,0.000020,21.672300,-0.440000,277.516998,21.482000,31.084000,31.084000,38.914001,7.830000,953.500000,1010.000000,266.000000,695,51,700,67,460,52,538
130,1776450286,0.000020,21.673100,-0.440000,277.437012,21.487000,31.086000,31.086000,38.915001,7.830000,953.500000,1009.900024,265.899994,695,46,700,65,460,41,538
131,1776450290,0.000020,21.672501,-0.450000,277.511993,21.483999,31.083000,31.083000,38.912998,7.830000,953.500000,1009.900024,265.899994,695,52,700,74,460,63,538
132,1776450294,0.000020,21.672701,-0.450000,277.497986,21.490000,31.082001,31.082001,38.912998,7.832000,953.400024,1009.799988,265.799988,695,51,700,69,460,51,538
133,1776450298,0.000020,21.672701,-0.440000,277.455994,21.493000,31.082001,31.082001,38.910999,7.829000,953.400024,1009.799988,265.700012,695,48,700,71,460,48,538
134,1776450302,0.000020,21.672701,-0.450000,277.463989,21.496000,31.080999,31.080999,38.910999,7.830000,953.299988,1009.799988,265.600006,695,43,700,67,460,58,538
135,1776450306,0.000020,21.672400,-0.440000,277.416992,21.500000,31.080999,31.080999,38.910000,7.829000,953.299988,1009.700012,265.399994,695,51,700,66,460,50,538
136,1776450310,0.000020,21.673201,-0.450000,277.360992,21.502001,31.082001,31.082001,38.914001,7.832000,953.400024,1009.599976,265.399994,695,45,700,66,460,44,538
137,1776450314,0.000020,21.673500,-0.450000,277.265015,21.507000,31.084000,31.084000,38.915001,7.831000,953.299988,1009.599976,265.200012,695,47,700,68,460,46,538
138,1776450318,0.000020,21.672899,-0.450000,277.290985,21.511000,31.080999,31.080999,38.912998,7.831000,953.299988,1009.700012,265.100006,695,48,700,69,460,66,538
139,1776450322,0.000020,21.673000,-0.450000,277.332001,21.513000,31.079000,31.079000,38.909000,7.831000,953.299988,1009.599976,265.000000,695,51,700,66,460,65,538
140,1776450326,0.000020,21.672600,-0.450000,277.281006,21.516001,31.079000,31.079000,38.911999,7.832000,953.299988,1009.500000,264.899994,695,53,700,65,460,51,538
141,1776450330,0.000020,21.673000,-0.460000,277.265015,21.517000,31.080000,31.080000,38.910999,7.831000,953.200012,1009.400024,264.899994,695,51,700,70,460,41,538
142,1776450334,0.000020,21.673201,-0.460000,277.169006,21.521000,31.082001,31.082001,38.912998,7.831000,953.200012,1009.500000,264.799988,695,44,700,72,460,42,538
143,1776450338,0.000020,21.673300,-0.450000,277.256989,21.525000,31.077000,31.077000,38.909000,7.832000,953.200012,1009.400024,264.700012,695,51,700,66,460,67,538
144,1776450342,0.000020,21.672899,-0.460000,277.190002,21.528000,31.077999,31.077999,38.909000,7.831000,953.099976,1009.400024,264.600006,695,49,700,63,460,42,538
145,1776450346,0.000020,21.673500,-0.460000,277.139008,21.530001,31.079000,31.079000,38.910000,7.831000,953.099976,1009.299988,264.500000,695,50,700,69,460,34,538
146,1776450350,0.000020,21.673599,-0.460000,277.157013,21.534000,31.077000,31.077000,38.908001,7.831000,953.099976,1009.299988,264.399994,695,52,700,74,460,57,538
147,1776450354,0.000020,21.672899,-0.460000,277.174988,21.537001,31.075001,31.075001,38.907001,7.832000,953.000000,1009.299988,264.299988,695,50,700,66,460,48,538
148,1776450358,0.000020,21.673500,-0.460000,277.105011,21.538000,31.077999,31.077999,38.908001,7.831000,952.900024,1009.200012,264.299988,695,50,700,66,460,41,538
149,1776450362,0.000020,21.673500,-0.460000,277.119995,21.541000,31.076000,31.076000,38.907001,7.831000,953.000000,1009.200012,264.200012,695,46,700,74,460,51,538
150,1776450366,0.000020,21.673901,-0.460000,277.143005,21.544001,31.073000,31.073000,38.905998,7.832000,953.000000,1009.200012,264.100006,695,47,700,68,460,53,538
151,1776450370,0.000020,21.673500,-0.460000,277.054993,21.547001,31.076000,31.076000,38.908001,7.833000,952.900024,1009.099976,264.000000,695,56,700,68,460,42,538
152,1776450374,0.000020,21.674101,-0.460000,277.109009,21.548000,31.073000,31.073000,38.904999,7.832000,952.900024,1009.099976,263.899994,695,53,700,69,460,49,538
153,1776450378,0.000020,21.673901,-0.460000,277.160004,21.552000,31.070000,31.070000,38.903000,7.833000,952.799988,1009.099976,263.799988,695,46,700,68,460,65,538
154,1776450382,0.000020,21.674299,-0.460000,277.092010,21.552000,31.072001,31.072001,38.904999,7.832000,952.799988,1009.099976,263.799988,695,53,700,65,460,51,538
155,1776450386,0.000020,21.674000,-0.460000,277.066010,21.556000,31.072001,31.072001,38.904999,7.833000,952.799988,1009.000000,263.700012,695,51,700,67,460,50,538
156,1776450390,0.000020,21.674299,-0.460000,277.075012,21.559999,31.070000,31.070000,38.903000,7.833000,952.799988,1009.000000,263.600006,695,50,700,74,460,66,538
157,1776450502,0.000020,21.691099,-0.470000,276.703003,21.605000,31.066000,31.066000,38.889999,7.825000,952.700012,1014.099976,262.200012,695,52,700,65,460,50,539
158,1776450522,0.000020,21.692301,-0.470000,276.704987,21.606001,31.065001,31.065001,38.889999,7.825000,952.799988,1014.200012,262.200012,695,46,700,68,460,55,539
159,1776450542,0.000020,21.693100,-0.470000,276.674011,21.607000,31.066000,31.066000,38.889000,7.823000,952.799988,1014.200012,262.100006,695,49,700,70,460,47,539
160,1776450562,0.000020,21.693501,-0.490000,276.653992,21.608999,31.066000,31.066000,38.889999,7.824000,952.700012,1014.000000,262.100006,695,45,700,73,460,46,540
161,1776450582,0.000020,21.694901,-0.490000,276.662994,21.612000,31.063999,31.063999,38.888000,7.824000,952.700012,1014.000000,262.000000,695,50,700,66,460,49,540
162,1776450602,0.000020,21.697201,-0.490000,276.643005,21.615000,31.063999,31.063999,38.888000,7.824000,952.599976,1013.799988,261.899994,695,41,700,71,460,39,540
163,1776450622,0.000030,21.698099,-0.490000,276.652008,21.620001,31.062000,31.062000,38.887001,7.825000,952.599976,1013.700012,261.700012,695,48,700,72,460,59,540
